user_id,persona,trend_affinity,age_group,gender_identity,income_bracket,dietary_restriction
U00001,casual,gut-health,45-54,Man,High,None
U00002,fitness,plant-based,55+,Man,Low,None
U00003,budget,plant-based,18-24,Woman,Low,Kosher
U00004,budget,gut-health,35-44,Man,Medium,None
U00005,fitness,low-sugar,35-44,Woman,Medium,None
U00006,,low-sugar,55+,Woman,Medium,Pescatarian
U00007,budget,low-sugar,25-34,Non-binary,High,Vegetarian
U00008,casual,plant-based,25-34,Woman,Medium,None
U00009,premium,protein,35-44,Man,Low,Jain
U00010,fitness,plant-based,35-44,Non-binary,Low,None
U00011,budget,protein,25-34,Woman,High,None
U00012,budget,plant-based,35-44,Woman,High,None
U00013,budget,clean-label,45-54,Woman,Medium,None
U00014,fitness,clean-label,35-44,Man,Low,None
U00015,,gut-health,18-24,Woman,Low,None
U00016,fitness,protein,25-34,Woman,High,Vegetarian
U00017,fitness,clean-label,35-44,Woman,Low,None
U00018,casual,gut-health,45-54,Woman,Low,None
U00019,fitness,clean-label,18-24,Man,Medium,None
U00020,casual,plant-based,18-24,Man,Medium,None
U00021,fitness,gut-health,25-34,Woman,Medium,None
U00022,budget,gut-health,18-24,Man,Medium,None
U00023,casual,protein,18-24,Woman,High,None
U00024,budget,low-sugar,35-44,Man,High,Vegan
U00025,fitness,plant-based,35-44,Non-binary,Medium,None
U00026,casual,clean-label,18-24,Woman,Low,Halal
U00027,casual,gut-health,35-44,Woman,Medium,Vegetarian
U00028,fitness,plant-based,45-54,Man,Medium,None
U00029,premium,low-sugar,25-34,Woman,Low,Vegan
U00030,fitness,clean-label,35-44,Man,Low,None
U00031,casual,gut-health,45-54,Man,Medium,None
U00032,premium,low-sugar,35-44,Woman,Medium,None
U00033,fitness,protein,18-24,Woman,Medium,None
U00034,casual,gut-health,25-34,Woman,Medium,Pescatarian
U00035,fitness,low-sugar,25-34,Woman,Medium,None
U00036,,plant-based,25-34,Man,Low,None
U00037,budget,gut-health,18-24,Woman,Low,Jain
U00038,budget,clean-label,25-34,Woman,Medium,None
U00039,fitness,gut-health,35-44,Man,Low,Halal
U00040,budget,protein,18-24,Woman,High,Vegan
U00041,casual,gut-health,35-44,Woman,High,None
U00042,premium,low-sugar,25-34,Woman,Medium,None
U00043,budget,plant-based,45-54,Woman,Low,None
U00044,,gut-health,18-24,Woman,Medium,None
U00045,premium,clean-label,35-44,Man,Low,None
U00046,casual,plant-based,25-34,Non-binary,Low,None
U00047,premium,gut-health,18-24,Man,Low,None
U00048,budget,gut-health,45-54,Man,Medium,Kosher
U00049,budget,plant-based,25-34,Man,Medium,Vegan
U00050,budget,plant-based,25-34,Man,Medium,Vegetarian
U00051,fitness,plant-based,25-34,Woman,Low,Vegan
U00052,budget,plant-based,18-24,Woman,Medium,None
U00053,budget,low-sugar,55+,Man,Medium,None
U00054,casual,low-sugar,18-24,Man,High,None
U00055,premium,clean-label,35-44,Woman,Low,None
U00056,casual,protein,25-34,Man,Low,None
U00057,casual,plant-based,55+,Man,Low,None
U00058,budget,protein,18-24,Woman,Medium,None
U00059,budget,plant-based,35-44,Man,High,None
U00060,premium,plant-based,35-44,Man,Low,None
U00061,fitness,low-sugar,18-24,Man,Low,Kosher
U00062,premium,clean-label,45-54,Woman,Medium,None
U00063,budget,clean-label,35-44,Man,Medium,None
U00064,,clean-label,25-34,Man,Medium,Vegetarian
U00065,casual,gut-health,18-24,Non-binary,Medium,None
U00066,casual,gut-health,35-44,Man,High,Pescatarian
U00067,fitness,protein,35-44,Man,Low,Kosher
U00068,casual,clean-label,35-44,Woman,Low,Vegetarian
U00069,premium,low-sugar,35-44,Prefer not to say,Medium,Halal
U00070,budget,protein,25-34,Man,Low,None
U00071,casual,clean-label,35-44,Man,Medium,None
U00072,fitness,low-sugar,45-54,Man,High,Vegan
U00073,premium,protein,25-34,Woman,High,None
U00074,casual,gut-health,35-44,Woman,Medium,Vegetarian
U00075,premium,clean-label,25-34,Man,Low,None
U00076,premium,gut-health,45-54,Non-binary,Medium,None
U00077,budget,plant-based,25-34,Man,Low,None
U00078,casual,low-sugar,25-34,Woman,Low,None
U00079,premium,clean-label,35-44,Woman,Low,None
U00080,premium,plant-based,45-54,Woman,Medium,Pescatarian
U00081,fitness,protein,25-34,Woman,Medium,None
U00082,budget,low-sugar,18-24,Man,Medium,Vegetarian
U00083,premium,gut-health,55+,Woman,Medium,Vegetarian
U00084,casual,low-sugar,25-34,Man,Medium,Jain
U00085,budget,low-sugar,18-24,Man,Medium,Vegetarian
U00086,fitness,low-sugar,35-44,Man,Low,None
U00087,fitness,gut-health,18-24,Woman,Medium,None
U00088,casual,low-sugar,18-24,Woman,Low,Vegetarian
U00089,casual,low-sugar,18-24,Woman,High,Pescatarian
U00090,premium,gut-health,45-54,Man,Medium,Vegan
U00091,budget,clean-label,25-34,Woman,Medium,None
U00092,premium,protein,25-34,Man,High,None
U00093,budget,plant-based,25-34,Woman,Low,Vegan
U00094,budget,gut-health,25-34,Man,Medium,Vegan
U00095,budget,clean-label,35-44,Man,Low,None
U00096,fitness,gut-health,25-34,Man,Low,None
U00097,fitness,protein,35-44,Man,Low,Vegan
U00098,budget,protein,55+,Woman,Medium,Halal
U00099,premium,clean-label,35-44,Woman,Low,Jain
U00100,premium,protein,45-54,Man,High,None
U00101,casual,low-sugar,55+,Man,Low,Vegetarian
U00102,fitness,protein,45-54,Woman,Medium,Pescatarian
U00103,fitness,protein,35-44,Man,Medium,Pescatarian
U00104,premium,gut-health,45-54,Woman,Low,Halal
U00105,budget,clean-label,18-24,Man,High,None
U00106,casual,low-sugar,25-34,Man,Medium,None
U00107,premium,plant-based,35-44,Man,Medium,None
U00108,fitness,clean-label,45-54,Man,Low,None
U00109,fitness,plant-based,45-54,Woman,Low,None
U00110,budget,protein,25-34,Woman,Low,None
U00111,budget,low-sugar,18-24,Man,Medium,None
U00112,premium,clean-label,55+,Woman,Medium,None
U00113,fitness,low-sugar,25-34,Man,High,Jain
U00114,premium,gut-health,18-24,Man,High,Vegan
U00115,fitness,plant-based,18-24,Man,Low,None
U00116,premium,plant-based,35-44,Non-binary,Medium,None
U00117,fitness,plant-based,25-34,Man,Low,Vegetarian
U00118,budget,plant-based,18-24,Woman,Low,None
U00119,casual,gut-health,25-34,Man,High,None
U00120,premium,clean-label,25-34,Woman,Medium,None
U00121,budget,protein,25-34,Woman,Low,None
U00122,budget,plant-based,25-34,Man,High,None
U00123,,protein,35-44,Prefer not to say,High,Vegan
U00124,premium,clean-label,25-34,Woman,Low,None
U00125,budget,protein,45-54,Man,High,Pescatarian
U00126,casual,clean-label,18-24,Man,Low,Pescatarian
U00127,fitness,plant-based,45-54,Woman,Medium,None
U00128,fitness,protein,35-44,Man,High,None
U00129,budget,low-sugar,55+,Man,High,None
U00130,,gut-health,18-24,Woman,Medium,Vegetarian
U00131,casual,low-sugar,25-34,Woman,High,Jain
U00132,fitness,plant-based,18-24,Woman,High,None
U00133,casual,protein,25-34,Man,High,None
U00134,fitness,protein,25-34,Man,Medium,None
U00135,fitness,plant-based,25-34,Man,Medium,Vegan
U00136,casual,clean-label,25-34,Woman,Low,None
U00137,budget,protein,25-34,Man,Medium,Kosher
U00138,casual,gut-health,25-34,Man,High,Pescatarian
U00139,budget,plant-based,18-24,Man,High,None
U00140,budget,low-sugar,45-54,Woman,Medium,None
U00141,casual,low-sugar,35-44,Man,Low,None
U00142,budget,gut-health,18-24,Man,Medium,Vegan
U00143,budget,protein,35-44,Non-binary,Low,None
U00144,premium,protein,18-24,Man,Low,None
U00145,fitness,clean-label,55+,Woman,Medium,Jain
U00146,budget,gut-health,18-24,Man,High,None
U00147,casual,low-sugar,25-34,Man,Medium,None
U00148,fitness,plant-based,35-44,Woman,Low,Jain
U00149,budget,clean-label,35-44,Woman,Medium,None
U00150,fitness,low-sugar,35-44,Woman,Low,None
U00151,casual,gut-health,18-24,Man,Low,None
U00152,fitness,clean-label,25-34,Woman,Medium,None
U00153,budget,gut-health,25-34,Man,Medium,Pescatarian
U00154,casual,clean-label,25-34,Man,Medium,None
U00155,casual,clean-label,18-24,Man,Medium,None
U00156,premium,clean-label,18-24,Man,Medium,None
U00157,fitness,gut-health,25-34,Woman,Low,Pescatarian
U00158,premium,plant-based,25-34,Non-binary,Low,None
U00159,casual,plant-based,18-24,Woman,Medium,None
U00160,budget,low-sugar,45-54,Woman,Medium,None
U00161,budget,gut-health,35-44,Man,Medium,Vegan
U00162,fitness,protein,35-44,Man,Medium,Vegetarian
U00163,budget,plant-based,25-34,Non-binary,High,Vegetarian
U00164,casual,protein,35-44,Man,Medium,None
U00165,fitness,low-sugar,35-44,Woman,Medium,None
U00166,premium,low-sugar,18-24,Man,High,Vegetarian
U00167,casual,gut-health,25-34,Woman,Medium,None
U00168,fitness,plant-based,35-44,Woman,High,Vegan
U00169,,clean-label,18-24,Non-binary,Medium,Pescatarian
U00170,budget,gut-health,25-34,Woman,Medium,Vegetarian
U00171,budget,clean-label,35-44,Woman,High,Vegan
U00172,casual,clean-label,45-54,Man,Low,None
U00173,premium,gut-health,35-44,Man,Low,Vegetarian
U00174,fitness,plant-based,25-34,Woman,Medium,None
U00175,fitness,gut-health,25-34,Non-binary,Medium,None
U00176,premium,protein,18-24,Man,Low,Kosher
U00177,budget,clean-label,55+,Man,Medium,Vegan
U00178,fitness,low-sugar,25-34,Man,High,None
U00179,premium,gut-health,25-34,Woman,Medium,None
U00180,premium,clean-label,45-54,Woman,Low,None
U00181,casual,low-sugar,25-34,Prefer not to say,Low,None
U00182,casual,protein,18-24,Woman,Medium,None
U00183,budget,protein,18-24,Woman,High,Vegetarian
U00184,fitness,clean-label,35-44,Man,Medium,Kosher
U00185,fitness,plant-based,25-34,Man,Medium,Pescatarian
U00186,budget,low-sugar,45-54,Woman,Medium,None
U00187,fitness,protein,55+,Man,Low,None
U00188,casual,protein,25-34,Man,Medium,Halal
U00189,fitness,plant-based,25-34,Woman,Medium,Vegetarian
U00190,casual,protein,25-34,Woman,Low,None
U00191,fitness,clean-label,18-24,Man,Low,Vegetarian
U00192,fitness,plant-based,18-24,Man,Medium,None
U00193,,protein,18-24,Woman,Medium,None
U00194,budget,gut-health,35-44,Man,Low,Kosher
U00195,premium,protein,18-24,Woman,Medium,None
U00196,budget,gut-health,25-34,Woman,Medium,Halal
U00197,casual,protein,45-54,Woman,Low,None
U00198,casual,gut-health,25-34,Woman,Medium,None
U00199,budget,gut-health,18-24,Woman,Medium,None
U00200,budget,clean-label,18-24,Man,High,None
U00201,,protein,55+,Woman,Medium,None
U00202,premium,clean-label,18-24,Woman,High,Vegetarian
U00203,budget,clean-label,18-24,Woman,Medium,None
