order_id,state,city_tier,occasion
ORD000001,California,Tier 2,on-the-go
ORD000002,Colorado,Tier 1,late-night
ORD000003,California,Tier 3,marathon-prep
ORD000004,Washington,Tier 1,late-night
ORD000005,Florida,Tier 2,late-night
ORD000006,Calfornia,Tier 1,late-night
ORD000007,California,Tier 2,marathon-prep
ORD000008,Colorado,Tier 1,marathon-prep
ORD000009,California,Tier 2,marathon-prep
ORD000010,Colorado,Tier 1,daily snack
ORD000011,Florida,Tier 1,daily snack
ORD000012,NY,Tier 3,on-the-go
ORD000013,Washington,Tier 2,religious-fasting
ORD000015,Illinois,Tier 2,gym
ORD000016,Georgia,Tier 1,gym
ORD000017,Colorado,Tier 1,late-night
ORD000018,Georgia,Unknown,gym
ORD000020,Colorado,Tier 1,late-night
ORD000021,Florida,Unknown,religious-fasting
ORD000022,Illinois,Tier 2,gym
ORD000023,Texas,Unknown,gym
ORD000024,Colorado,Unknown,daily snack
ORD000025,NY,Tier 1,on-the-go
ORD000026,Calfornia,Tier 3,on-the-go
ORD000027,California,Tier 2,festive
ORD000028,Illinois,Tier 2,festive
ORD000029,Georgia,Tier 2,religious-fasting
ORD000030,Calfornia,Tier 1,religious-fasting
ORD000031,Texas,Tier 1,religious-fasting
ORD000032,Washington,Tier 2,late-night
ORD000033,Georgia,Tier 1,road-trip
ORD000034,Washington,Tier 2,daily snack
ORD000035,Texas,Tier 2,on-the-go
ORD000036,Colorado,Unknown,on-the-go
ORD000038,Calfornia,Unknown,festive
ORD000039,Illinois,Tier 2,festive
ORD000040,Florida,Tier 1,late-night
ORD000041,NY,Unknown,festive
ORD000042,NY,Tier 1,daily snack
ORD000043,Georgia,Tier 1,religious-fasting
ORD000044,California,Tier 3,daily snack
ORD000045,Florida,Tier 3,gym
ORD000046,Georgia,Tier 1,late-night
ORD000047,Texas,Tier 2,on-the-go
ORD000048,Washington,Tier 1,late-night
ORD000049,Illinois,Tier 1,late-night
ORD000050,Georgia,Tier 3,road-trip
ORD000051,New York,Unknown,marathon-prep
ORD000053,New York,Tier 2,religious-fasting
ORD000055,Illinois,Tier 3,festive
ORD000056,California,Tier 1,religious-fasting
ORD000058,New York,Unknown,daily snack
ORD000059,NY,Tier 2,religious-fasting
ORD000060,Illinois,Tier 1,daily snack
ORD000062,New York,Tier 3,gym
ORD000063,Washington,Tier 1,marathon-prep
ORD000064,Texas,Tier 2,on-the-go
ORD000065,Colorado,Tier 1,late-night
ORD000066,Colorado,Tier 1,gym
ORD000067,California,Tier 2,gym
ORD000068,Texas,Tier 2,marathon-prep
ORD000069,Calfornia,Tier 2,road-trip
ORD000070,Florida,Tier 1,on-the-go
ORD000071,Washington,Tier 1,gym
ORD000072,Illinois,Tier 1,on-the-go
ORD000073,California,Tier 2,road-trip
ORD000074,New York,Tier 3,late-night
ORD000075,California,Tier 3,religious-fasting
ORD000076,Florida,Tier 3,religious-fasting
ORD000077,New York,Tier 2,gym
ORD000078,Washington,Tier 2,on-the-go
ORD000079,NY,Tier 1,late-night
ORD000080,Illinois,Tier 3,daily snack
