order_id,user_id,product_id,price,quantity,timestamp,channel
ORD026255,U01639,P087,7.11,3,2025-12-23 21:07:04.822715,Marketplace
ORD023207,U04034,P023,26.24,5,2026-01-08 19:07:04.822715,App
ORD022084,U01707,P067,7.18,1,2025-10-04 06:07:04.822715,Retail
ORD013963,U00997,P025,48.73,3,2025-11-30 21:07:04.822715,Gym Kiosk
ORD024008,U04286,P047,-8.0,-3,2025-05-01 03:07:04.822715,Marketplace
ORD028277,U02189,P133,68.78,2,2025-10-12 05:07:04.822715,Retail
ORD019763,U04527,P101,9.34,6,2026-02-09 20:07:04.822715,Marketplace
ORD006695,U03088,P070,10.74,2,2026-02-14 00:07:04.822715,Retail
ORD013256,U00485,P096,27.51,2,2025-11-02 00:07:04.822715,Website
ORD004700,U03907,P105,143.33,2,2025-10-01 22:07:04.822715,App
ORD034144,U04309,P073,14.66,1,2026-02-28 16:07:04.822715,App
ORD012479,U02433,P047,10.03,1,2026-02-12 08:07:04.822715,Website
ORD041991,U03069,P043,21.39,1,2026-04-14 14:07:04.822715,App
ORD020919,U03676,P047,10.03,3,2026-01-06 02:07:04.822715,Retail
ORD006662,U03966,P124,7.73,3,2025-09-25 21:07:04.822715,Gym Kiosk
ORD042275,U01125,P068,15.56,6,2025-06-15 11:07:04.822715,Marketplace
ORD013172,U04983,P006,5.13,151,2026-01-25 08:07:04.822715,Gym Kiosk
ORD006584,U03913,P013,19.3,1,2025-11-18 18:07:04.822715,App
ORD038464,U03639,P095,9.99,1,2025-09-20 03:07:04.822715,Retail
ORD049790,U00613,P092,6.68,1,2025-06-12 02:07:04.822715,Marketplace
ORD020869,U03410,P049,11.16,4,2026-02-14 10:07:04.822715,Website
ORD039104,U02952,P065,14.97,2,2025-07-22 21:07:04.822715,Website
ORD027985,U01845,P136,25.58,1,2026-02-11 01:07:04.822715,Retail
ORD034457,U03240,P073,12.02,2,2026-04-17 12:07:04.822715,App
ORD029874,U02188,P010,19.2,1,2026-02-08 13:07:04.822715,Retail
ORD020786,U04167,P089,4.78,3,2025-07-01 23:07:04.822715,Website
ORD014346,U00201,P146,12.23,1,2025-09-28 07:07:04.822715,Website
ORD000651,U01845,P115,36.05,1,2025-09-30 10:07:04.822715,Website
ORD032734,U02973,P010,14.95,2,2025-11-11 05:07:04.822715,Gym Kiosk
ORD027703,U04694,P056,12.69,3,2026-04-15 23:07:04.822715,Website
ORD035271,U04194,P097,14.72,2,2025-09-16 07:07:04.822715,Website
ORD046956,U03219,P061,34.75,3,2026-01-20 07:07:04.822715,Marketplace
ORD039291,U02395,P065,17.7,2,2025-12-04 14:07:04.822715,Gym Kiosk
ORD022353,U03193,P147,8.02,2,2025-07-06 11:07:04.822715,App
ORD013104,U02925,P003,9.86,1,2025-05-13 17:07:04.822715,Retail
ORD019554,U04883,P144,32.73,4,2026-04-24 05:07:04.822715,Retail
ORD034354,U04641,P030,7.01,3,2025-05-23 01:07:04.822715,Marketplace
ORD017617,U01116,P117,16.51,1,2025-12-27 20:07:04.822715,App
ORD042494,U00127,P150,12.52,2,2025-07-11 08:07:04.822715,Retail
ORD038249,U00543,P001,21.46,2,2025-07-14 03:07:04.822715,Gym Kiosk
ORD027206,U01646,P030,7.14,3,2025-06-11 08:07:04.822715,Website
ORD027837,U00342,P033,24.03,2,2025-09-03 00:07:04.822715,App
ORD007776,U01174,P040,7.72,3,2025-11-19 17:07:04.822715,Website
ORD026298,U02258,P031,8.62,2,2025-09-05 16:07:04.822715,Website
ORD027439,U03552,P138,12.61,1,2025-08-01 00:07:04.822715,App
ORD010477,U02323,P083,30.21,3,2025-08-02 14:07:04.822715,Gym Kiosk
ORD014696,U02058,P038,771.0,1,2025-05-20 17:07:04.822715,Retail
ORD035761,U01447,P122,23.31,1,2025-10-23 14:07:04.822715,Marketplace
ORD002293,U03974,P077,78.77,5,2025-09-05 02:07:04.822715,Gym Kiosk
ORD048368,U02337,P084,18.16,1,2025-09-18 09:07:04.822715,Website
ORD036482,U00445,P145,7.52,1,2026-01-14 05:07:04.822715,Marketplace
ORD022537,U02407,P143,16.59,2,2025-06-14 23:07:04.822715,App
ORD006327,U00331,P009,21.22,3,2026-03-29 18:07:04.822715,Gym Kiosk
ORD045701,U04017,P127,92.49,6,2025-07-23 04:07:04.822715,Marketplace
ORD045772,U04250,P139,15.33,3,2025-12-12 05:07:04.822715,Marketplace
ORD022965,U03154,P085,63.48,1,2026-04-19 04:07:04.822715,App
ORD024603,U03177,P015,16.51,5,2025-08-27 09:07:04.822715,Website
ORD047423,U04218,P054,57.26,3,2026-02-03 00:07:04.822715,Gym Kiosk
ORD003251,U02367,P083,30.21,3,2026-02-22 08:07:04.822715,App
ORD032986,U04405,P094,10.48,3,2025-10-06 09:07:04.822715,Website
ORD040011,U04669,P123,7.69,2,2026-01-24 03:07:04.822715,Gym Kiosk
ORD009863,U01017,P026,18.48,1,2025-10-27 12:07:04.822715,App
ORD030031,U02442,P064,79.7,3,2025-10-19 10:07:04.822715,App
ORD024219,U03367,P029,79.5,2,2026-02-27 19:07:04.822715,Marketplace
ORD018654,U02756,P136,25.58,3,2026-02-04 06:07:04.822715,Gym Kiosk
ORD000644,U03749,P031,6.29,1,2026-03-10 20:07:04.822715,App
ORD015957,U00370,P023,37.78,3,2026-03-17 13:07:04.822715,App
ORD042824,U03265,P075,56.69,1,2025-07-15 18:07:04.822715,Retail
ORD035314,U01206,P067,9.56,1,2025-11-19 23:07:04.822715,Retail
ORD005562,U01200,P024,10.69,2,2025-10-07 12:07:04.822715,App
ORD011610,U01844,P060,80.55,4,2026-01-24 16:07:04.822715,Retail
ORD030179,U03087,P033,19.53,2,2026-03-26 10:07:04.822715,Retail
ORD004171,U01820,P099,8.41,1,2026-02-06 23:07:04.822715,Marketplace
ORD035356,U02532,P070,7.68,3,2025-12-05 23:07:04.822715,Website
ORD047157,U00278,P093,18.03,1,2026-03-10 19:07:04.822715,Retail
ORD031830,U03816,P142,52.99,5,2025-06-24 02:07:04.822715,Marketplace
ORD022215,U02369,P128,20.12,2,2025-12-22 19:07:04.822715,Retail
ORD020593,U02131,P061,42.62,2,2025-12-01 22:07:04.822715,App
ORD016410,U03622,P132,55.59,2,2026-01-28 08:07:04.822715,App
ORD014915,U01640,P110,54.15,1,2025-10-04 20:07:04.822715,Website
ORD032482,U01906,P149,21.68,1,2025-10-04 10:07:04.822715,App
ORD049816,U03092,P015,19.83,2,2025-07-28 03:07:04.822715,Gym Kiosk
ORD048934,U01710,P023,38.04,2,2025-05-13 08:07:04.822715,Gym Kiosk
ORD032374,U04381,P126,9.11,3,2026-01-12 13:07:04.822715,Marketplace
ORD049952,U02703,P081,95.78,1,2025-09-01 19:07:04.822715,Website
ORD005701,U03431,P045,13.62,1,2025-07-23 22:07:04.822715,Website
ORD046020,U04616,P128,16.76,1,2025-07-20 00:07:04.822715,Gym Kiosk
ORD026977,U02787,P049,18.97,1,2026-03-23 16:07:04.822715,Marketplace
ORD043213,U04042,P006,5.13,1,2026-03-11 00:07:04.822715,Retail
ORD029128,U01979,P137,5.24,1,2026-03-15 14:07:04.822715,App
ORD033969,U04696,P122,23.31,3,2026-01-21 05:07:04.822715,Retail
ORD024534,U01168,P100,10.91,3,2025-09-21 10:07:04.822715,App
ORD043269,U00644,P060,138.0,1,2026-01-10 02:07:04.822715,Marketplace
ORD013570,U04105,P099,6.73,2,2026-04-18 13:07:04.822715,Website
ORD002399,U04447,P127,202.09,1,2025-04-25 12:07:04.822715,Marketplace
ORD047298,U03706,P103,32.77,1,2026-04-04 11:07:04.822715,App
ORD039404,U03855,P041,8.85,1,2025-09-17 01:07:04.822715,App
ORD000807,U00664,P025,49.25,2,2025-08-16 03:07:04.822715,Website
ORD022522,U02650,P063,146.6,1,2025-07-03 03:07:04.822715,Marketplace
ORD030395,U03196,P069,8.4,4,2025-08-28 21:07:04.822715,Marketplace
ORD043482,U02334,P010,22.06,2,2025-08-02 01:07:04.822715,Gym Kiosk
ORD019714,U01409,P136,30.05,1,2025-07-06 21:07:04.822715,Retail
ORD017251,U03261,P045,13.86,1,2025-08-13 13:07:04.822715,Website
ORD049532,U04012,P100,10.91,3,2025-12-26 14:07:04.822715,Marketplace
ORD026212,U03233,P015,15.11,6,2026-01-08 16:07:04.822715,Retail
ORD007302,U04812,P022,25.23,2,2025-05-20 09:07:04.822715,App
ORD040727,U04983,P132,55.91,2,2026-01-04 15:07:04.822715,App
ORD039094,U01273,P075,-72.0,-1,2025-05-13 22:07:04.822715,Retail
ORD004170,U03300,P136,41.77,2,2025-08-09 15:07:04.822715,App
ORD044406,U00339,P020,32.59,1,2026-04-24 06:07:04.822715,Website
ORD005605,U02855,P073,15.7,1,2025-05-25 05:07:04.822715,Retail
ORD000431,U03156,P026,26.1,2,2026-03-16 23:07:04.822715,App
ORD018750,U00267,P074,22.9,3,2025-11-26 03:07:04.822715,App
ORD049252,U02266,P005,-11.77,-2,2025-12-19 09:07:04.822715,Retail
