product_id,category,pack_size,current_price,recommended_price,price_change_abs,price_change_pct,current_revenue,expected_revenue,revenue_impact,current_units,expected_units,elasticity,elasticity_class,demand_cliff_price,action,risk_level
P044,Supplement,4-Pack,105.54,100.26,-5.28,-5.0,152557.02,232302.42,79745.4,2015.0,2317.0,-3.0,HIGHLY ELASTIC,50.0,SLIGHT REDUCE,HIGH — monitor weekly
P004,Healthy Snack,4-Pack,74.08,74.08,0.0,0.0,117508.98,173273.12,55764.14,2339.0,2339.0,-1.1927,ELASTIC,40.0,MAINTAIN,MEDIUM — approaching demand cliff
P096,Electrolyte Drink,4-Pack,51.53,48.95,-2.58,-5.01,61001.38,103480.3,42478.92,1838.0,2114.0,-3.0,HIGHLY ELASTIC,30.0,SLIGHT REDUCE,HIGH — monitor weekly
P140,Electrolyte Drink,Single,37.03,38.88,1.85,5.0,38371.27,73599.84,35228.57,1783.0,1893.0,1.2372,ELASTIC,74.06,SLIGHT RAISE,LOW — safe to implement
P122,Meal Replacement,4-Pack,71.65,26.4,-45.25,-63.15,73998.16,106656.0,32657.84,1992.0,4040.0,-1.6278,ELASTIC,30.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P090,Protein Bar,4-Pack,68.0,68.0,0.0,0.0,71040.64,101252.0,30211.36,1489.0,1489.0,-1.3145,ELASTIC,40.0,MAINTAIN,MEDIUM — approaching demand cliff
P064,Electrolyte Drink,12-Pack,83.91,77.2,-6.71,-8.0,107981.59,137107.2,29125.61,1506.0,1776.0,-2.2391,HIGHLY ELASTIC,70.0,REDUCE PRICE,HIGH — monitor weekly
P005,Meal Replacement,Single,29.54,30.13,0.59,2.0,30137.25,58361.81,28224.56,1990.0,1937.0,-1.3333,ELASTIC,59.08,MAINTAIN,LOW — safe to implement
P013,Electrolyte Drink,Single,37.9,35.63,-2.27,-5.99,37301.13,62886.95,25585.82,1569.0,1765.0,-2.0858,HIGHLY ELASTIC,20.0,SLIGHT REDUCE,HIGH — monitor weekly
P020,Electrolyte Drink,4-Pack,70.91,78.71,7.8,11.0,65256.55,90280.37,25023.82,1089.0,1147.0,0.4871,INELASTIC,3250.0,RAISE PRICE,LOW — safe to implement
P149,Protein Bar,Single,41.29,38.81,-2.48,-6.01,49738.79,72729.94,22991.15,1588.0,1874.0,-3.0,HIGHLY ELASTIC,82.58,SLIGHT REDUCE,HIGH — monitor weekly
P129,Electrolyte Drink,Single,36.32,34.14,-2.18,-6.0,37262.53,59983.98,22721.45,1489.0,1757.0,-3.0,HIGHLY ELASTIC,1450.0,SLIGHT REDUCE,HIGH — monitor weekly
P083,Protein Shake,4-Pack,76.85,72.24,-4.61,-6.0,104495.21,127070.16,22574.95,1491.0,1759.0,-3.0,HIGHLY ELASTIC,40.0,SLIGHT REDUCE,HIGH — monitor weekly
P019,Meal Replacement,12-Pack,136.42,96.8,-39.62,-29.04,228282.13,250808.8,22526.67,1890.0,2591.0,-1.2765,ELASTIC,110.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P008,Protein bar,Single,38.4,38.4,0.0,0.0,29016.11,50956.8,21940.69,1327.0,1327.0,1.2738,ELASTIC,20.0,MAINTAIN,MEDIUM — approaching demand cliff
P036,Protein Bar,4-Pack,52.0,49.4,-2.6,-5.0,63217.18,84918.6,21701.42,1495.0,1719.0,-3.0,HIGHLY ELASTIC,30.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P078,Unknown,Single,55.7,55.7,0.0,0.0,45124.04,66227.3,21103.26,1189.0,1189.0,1.2882,ELASTIC,111.4,MAINTAIN,LOW — safe to implement
P045,Healthy Snack,Single,33.51,37.2,3.69,11.01,28785.66,49624.8,20839.14,1470.0,1334.0,-0.8412,MODERATELY ELASTIC,67.02,RAISE PRICE,LOW — safe to implement
P091,Healthy Snack,Single,58.02,54.54,-3.48,-6.0,49886.27,69811.2,19924.93,1085.0,1280.0,-3.0,HIGHLY ELASTIC,2300.0,SLIGHT REDUCE,HIGH — monitor weekly
P100,Protein bar,Single,37.55,37.55,0.0,0.0,29890.92,48890.1,18999.18,1302.0,1302.0,-1.3333,ELASTIC,1090.0,MAINTAIN,LOW — safe to implement
P073,Protein Bar,Single,30.26,31.17,0.91,3.01,31502.0,50152.53,18650.53,1676.0,1609.0,-1.3333,ELASTIC,60.52,SLIGHT RAISE,LOW — safe to implement
P065,Unknown,Single,41.17,41.17,0.0,0.0,37000.97,55003.12,18002.15,1336.0,1336.0,1.3333,ELASTIC,20.0,MAINTAIN,MEDIUM — approaching demand cliff
P109,Supplement,Single,29.11,32.6,3.49,11.99,20700.61,38370.2,17669.59,1184.0,1177.0,-0.0483,INELASTIC,58.22,RAISE PRICE,LOW — safe to implement
P079,Meal Replacement,Single,63.63,61.72,-1.91,-3.0,59242.33,76656.24,17413.91,1327.0,1242.0,2.1308,HIGHLY ELASTIC,30.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P135,Electrolyte Drink,Single,29.89,29.59,-0.3,-1.0,33477.04,50362.18,16885.14,1667.0,1702.0,-2.1011,HIGHLY ELASTIC,59.78,MAINTAIN,LOW — safe to implement
P130,Meal Replacement,4-Pack,79.89,78.29,-1.6,-2.0,76326.6,93086.81,16760.21,1221.0,1189.0,1.3213,ELASTIC,50.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P098,Supplement,Single,30.47,33.52,3.05,10.01,27814.25,43743.6,15929.35,1309.0,1305.0,-0.0268,INELASTIC,60.94,RAISE PRICE,LOW — safe to implement
P059,Protein Shake,Single,28.72,31.59,2.87,9.99,19335.66,35096.49,15760.83,1067.0,1111.0,0.4107,INELASTIC,1190.0,RAISE PRICE,LOW — safe to implement
P032,Protein bar,Single,17.3,17.13,-0.17,-0.98,31613.55,46782.03,15168.48,2814.0,2731.0,3.0,HIGHLY ELASTIC,10.0,MAINTAIN,MEDIUM — approaching demand cliff
P017,Electrolyte Drink,4-Pack,69.18,65.03,-4.15,-6.0,44764.55,59112.27,14347.72,791.0,909.0,-2.4939,HIGHLY ELASTIC,50.0,SLIGHT REDUCE,HIGH — monitor weekly
P002,Meal Replacement,Single,24.29,27.45,3.16,13.01,21323.31,35383.05,14059.74,1334.0,1289.0,-0.2583,INELASTIC,48.58,RAISE PRICE,LOW — safe to implement
P042,Electrolyte Drink,Single,17.03,16.86,-0.17,-1.0,22619.38,36130.98,13511.6,2090.0,2143.0,-2.5517,HIGHLY ELASTIC,10.0,MAINTAIN,MEDIUM — approaching demand cliff
P088,Electrolyte Drink,Single,35.4,35.4,0.0,0.0,28880.38,42055.2,13174.82,1188.0,1188.0,1.2224,ELASTIC,20.0,MAINTAIN,MEDIUM — approaching demand cliff
P120,Protein bar,Single,47.61,45.23,-2.38,-5.0,48991.78,61874.64,12882.86,1555.0,1368.0,2.4108,HIGHLY ELASTIC,30.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P050,Healthy Snack,4-Pack,58.71,26.4,-32.31,-55.03,62995.64,75715.2,12719.56,1912.0,2868.0,-0.9084,MODERATELY ELASTIC,30.0,REDUCE PRICE,LOW — safe to implement
P053,Healthy Snack,Single,29.88,28.09,-1.79,-5.99,23585.55,36264.19,12678.64,1094.0,1291.0,-3.0,HIGHLY ELASTIC,59.76,SLIGHT REDUCE,HIGH — monitor weekly
P057,Supplement,12-Pack,124.36,121.87,-2.49,-2.0,143490.34,155871.73,12381.39,1246.0,1279.0,-1.3333,ELASTIC,90.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P016,Protein Shake,Single,43.94,43.94,0.0,0.0,36563.83,48597.64,12033.81,1106.0,1106.0,-1.3333,ELASTIC,20.0,MAINTAIN,MEDIUM — approaching demand cliff
P116,Protein Shake,Single,25.77,27.06,1.29,5.01,35281.14,47165.58,11884.44,1634.0,1743.0,1.3333,ELASTIC,51.54,SLIGHT RAISE,MEDIUM — review after 2 weeks
P118,Healthy Snack,4-Pack,57.62,54.16,-3.46,-6.0,46906.24,58438.64,11532.4,950.0,1079.0,-2.2601,HIGHLY ELASTIC,40.0,SLIGHT REDUCE,HIGH — monitor weekly
P132,Protein Shake,4-Pack,63.14,52.8,-10.34,-16.38,54153.08,65419.2,11266.12,1015.0,1239.0,-1.3453,ELASTIC,60.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P150,Meal Replacement,Single,22.66,25.38,2.72,12.0,24898.13,35836.56,10938.43,1380.0,1412.0,0.1928,INELASTIC,45.32,RAISE PRICE,LOW — safe to implement
P070,Protein bar,Single,20.78,24.52,3.74,18.0,17440.21,27928.28,10488.07,1067.0,1139.0,0.3743,INELASTIC,41.56,RAISE PRICE,LOW — safe to implement
